POWER Linus Patrick BA DipED MPA(Harvard),Logan,ALP,"Maxima House, 1/3 Helen Street, Hillcrest Qld 4118", Ph: 07 3445 2100,
Senior Government Whip,,,Email: logan@parliament.qld.gov.au,Fax: 07 3445 2109,
,,,,,
PYNE Robert John (Rob) BA(Hons) LLB,Cairns,ALP,"46-50 Spence Street, Cairns Qld 4870", Ph: 07 4229 0110,
,,,"(PO Box 5241, Cairns Qld 4870)",Fax: 07 4229 0119,
,,,Email: cairns@parliament.qld.gov.au,,
,,,,,
RICKUSS Ian Phillip,Lockyer,LNP,"Shop 1, 47 North Street, Gatton Qld 4343", Ph: 07 5351 6100,
Opposition Whip,,,Email: lockyer@parliament.qld.gov.au,Fax: 07 5351 6109,
,,,,     1800 817 791,
,,,,(within elect. only),
,,,,,
ROBINSON Mark Andrew [Dr] BSc DipMin,Cleveland,LNP,"“Kramer Place”, 19 Waterloo Street, Cleveland Qld 4163", Ph: 07 3446 9100,
MA PHD,,,"(PO Box 1399, Cleveland Qld 4163)",Fax: 07 3446 9109,
,,,Email: cleveland@parliament.qld.gov.au,,
,,,,,
ROWAN Christian Andrew Carr [Dr],Moggill,LNP,"Suites 16 &17, Level 1, Kenmore Village, 9 Brookfield", Ph: 07 3737 4110,
MBBS(QQld) MDiplTrade (Hon) FRACGP FARGP,,,"Road, Kenmore Qld 4069",Fax: 07 3737 4119,
FACRRM FRACMA FAChAM (RACP),,,"(PO Box 808, Kenmore Qld 4069)",,
,,,Email: moggill@parliament.qld.gov.au,,
,,,,,
RUSSO Peter Samuel LLM,Sunnybank,ALP,"Suite 4, 309 Mains Road, Sunnybank Qld 4109", Ph: 07 3414 3120,
,,,"(PO Box 213, Sunnybank Qld 4109)",Fax: 07 3414 3129,
,,,Email: sunnybank@parliament.qld.gov.au,,
,,,,,
RYAN Mark Thomas LLB (Hons) BA,Morayfield,ALP,"Unit 3, 67 Morayfield Road, Caboolture South Q 4510", Ph: 07 5343 5100,
GradDipLegPract,,,"(PO Box 991, Morayfield Qld 4506)",Fax: 07 5343 5109,
Assistant Minister of State Assisting the,,,Email: morayfield@parliament.qld.gov.au,,
Premier,,,,,
,,,,,
SAUNDERS Bruce Mark,Maryborough,ALP,"Shop 1, Comet Place, 133 Lennox Street, Maryborough", Ph: 07 4114 1100,
,,,Qld 4650,Fax: 07 4114 1109,
,,,Email: maryborough@parliament.qld.gov.au,     1800 813 794,
,,,,(within elect. only),
,,,,,
SEENEY Jeffrey William (Jeff),Callide,LNP,"64 Callide Street, Biloela Qld 4715", Ph: 07 4845 1100,
,,,"(PO Box 559, Biloela Qld 4715)",Fax: 07 4845 1109,
,,,Email: callide@parliament.qld.gov.au,     1800 812 119,
,,,,(within elect. only),
,,,,,
SIMPSON Fiona Stuart [Ms] BA MA GAICD,Maroochydore,LNP,"Suite 1, Cnr First & Memorial Avenues, Maroochydore", Ph: 07 5406 7100,
Shadow Minister for Local Government and,,,Qld 4558,Fax: 07 5406 7109,
"Main Roads, Community Recovery and",,,Email: maroochydore@parliament.qld.gov.au,,
Resilience,,,,,
,,,,,
SMITH Tarnya [Mrs],Mount,LNP,"Unit 6A, Level 1, Mount Ommaney Centre, 171", Ph: 07 3737 2120,
Shadow Minister for Aboriginal and Torres,Ommaney,,"Dandenong Road, Mount Ommaney Qld 4074",Fax: 07 3737 2129,
Strait Islander and Multicultural Affairs,,,"(PO Box 1153, Mount Ommaney Qld 4074)",,
,,,Email: mount.ommaney@parliament.qld.gov.au,,
,,,,,
SORENSEN Edward John (Ted),Hervey Bay,LNP,"Shop 3, “Baiavista” 357 Esplanade, Scarness Qld 4655", Ph: 07 4183 8100,
,,,"(PO Box 5049, Torquay Qld 4655)",Fax: 07 4183 8109,
,,,Email: hervey.bay@parliament.qld.gov.au,     1800 811 470,
,,,,(within elect. Only,
,,,,,
SPRINGBORG Lawrence James,Southern Downs,LNP,"9 Victoria Street, Stanthorpe Qld 4380", Ph: 07 4524 7700,
Opposition Leader,,,"(PO Box 444, Stanthorpe Qld 4380)",Fax: 07 4524 7709,
,,,Email: southern.downs@parliament.qld.gov.au,     1800 811 827,
,,,,(within elect. only),
,,,,,
STEVENS Raymond Alexander (Ray),Mermaid Beach,LNP,"2434 Gold Coast Highway, Mermaid Beach Qld 4218", Ph: 07 5600 0100,
Leader of Opposition Business in the House,,,"(PO Box 435, Mermaid Beach Qld 4218)",Fax: 07 5600 0109,
,,,Email: mermaid.beach@parliament.qld.gov.au,,
,,,,,
STEWART Scott James DipTeach Bed MEd,Townsville,ALP,"Ground Floor, 31 Sturt Street, Townsville Qld 4810",  Ph: 07 4766 4100,
,,,Email: townsville@parliament.qld.gov.au, Fax: 07 4766 4109,
,,,,      1800 811 196,
,,,,(within elect. Only),
,,,,,
STUCKEY Janet Anne (Jann) [Mrs] RN,Currumbin,LNP,"Suite 1, Samuel Plaza",  Ph: 07 5601 9100,
"Shadow Minister for Tourism, Major",,,"1045 Gold Coast Highway, Palm Beach Qld 4221", Fax: 07 5601 9109,
"Events, Sport and Racing",,,"(PO Box 751, Currumbin Qld 4223)",,
,,,Email: currumbin@parliament.qld.gov.au,,
,,,,,
TRAD Honourable Jacklyn Anne (Jackie) [Ms],South Brisbane,ALP,"Suite 1/90 Vulture Street, West End Qld 4101", Ph: 07 3724 9100,
BA MPP,,,"(PO Box 5326, West End Qld 4101)",Fax: 07 3724 9109,
"Deputy Premier, Minister for",,,Email: south.brisbane@parliament.qld.gov.au,,
"Infrastructure, Local Government and",,,,,
Planning and Minister for Trade and,,,"Ministerial: Level 12, Executive Building, 100 George",Ph: 07 3719 7100,
Investment,,,"Street, Brisbane Qld 4000",,
,,,"(PO Box 15009, City East Qld 4002)",,
,,,Email: deputy.premier@ministerial.qld.gov.au,,
,,,,,
WALKER Ian Bradley BA LLB,Mansfield,LNP,"12 Mt Gravatt-Capalaba Road, Upper Mt Gravatt Qld",Ph: 07 3414 3100,
Shadow Attorney-General and Shadow,,,4122,Fax: 07 3414 3109,
Minister for Industrial Relations and Arts,,,Email: mansfield@parliament.qld.gov.au,,
,,,,,
WATTS Trevor John BBus,Toowoomba,LNP,"Suite 2, ABC Building, 297 Margaret Street, Toowoomba", Ph: 07 4602 2100,
,North,,Qld 4350,Fax: 07 4602 2109,
,,,"(PO Box 285, Harlaxton Qld 4350)",,
,,,Email: toowoomba.north@parliament.qld.gov.au,,
,,,,,
WEIR Patrick Thomas (Pat),Condamine,LNP,"129 Cunningham Street, Dalby Qld 4405", Ph: 07 4570 4100,
,,,"(PO Box 417, Dalby Qld 4405)",Fax: 07 4570 4109,
,,,Email: condamine@parliament.qld.gov.au,     1800 817 344,
,,,,(within elect. only),
,,,,,
WELLINGTON Honourable Peter William LLB,Nicklin,IND,"Shop 3, 51 Currie Street, Nambour Qld 4560", Ph: 07 5406 4100,
GradDipLegalPrac,,,"(PO Box 265, Nambour Qld 4560)",Fax: 07 5406 4109,
Speaker,,,Email: nicklin@parliament.qld.gov.au,     1800 810 819,
,,,,(within elect. only),
,,,,,
WHITING Christopher Guy (Chris) BA(Hons),Murrumba,ALP,"Shop T1.18, The Zone Shopping Centre, 743 Deception", Ph: 07 3448 2100,
MJournalism,,,"Bay Road, Rothwell Qld 4022",Fax: 07 3448 2109,
,,,"(PO Box 21, Deception Bay Qld 4508)",,
,,,Email: murrumba@parliament.qld.gov.au,,
,,,,,
WILLIAMS Richard Allan (Rick) DipFinPlan,Pumicestone,ALP,"1/43 Benabrow Avenue, Bellara Qld 4507", Ph: 07 3474 2100,
,,,Email: pumicestone@parliament.qld.gov.au,Fax: 07 3474 2109,
