LGA Council,LGA Division,State District,Federal District,Locality,Postcode
North Burnett Regional Council,Division 5,CALLIDE,Flynn,ARANBANGA,4625
Banana Shire Council,Division 3,CALLIDE,Flynn,ARGOON,4702
Banana Shire Council,Division 4,CALLIDE,Flynn,ARGOON,4702
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,AUBURN,4413
South Burnett Regional Council,Division 6,CALLIDE,Flynn,BALLOGIE,4610
North Burnett Regional Council,Division 5,CALLIDE,Flynn,BAN BAN,4625
North Burnett Regional Council,Division 5,CALLIDE,Flynn,BAN BAN SPRINGS,4625
Banana Shire Council,Division 3,CALLIDE,Flynn,BANANA,4702
Banana Shire Council,Division 4,CALLIDE,Flynn,BANANA,4702
Banana Shire Council,Division 5,CALLIDE,Flynn,BANANA,4702
North Burnett Regional Council,Division 2,CALLIDE,Flynn,BANCROFT,4630
Banana Shire Council,Division 4,CALLIDE,Flynn,BARALABA,4702
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,BARAMBAH,4601
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,BARLIL,4605
Banana Shire Council,Division 6,CALLIDE,Flynn,BAROONDAH,4454
North Burnett Regional Council,Division 3,CALLIDE,Flynn,BEERON,4626
Gympie Regional Council,Division 3,CALLIDE,Wide Bay,BELLS BRIDGE,4570
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,BELLS BRIDGE,4570
North Burnett Regional Council,Division 6,CALLIDE,Flynn,BIGGENDEN,4621
Banana Shire Council,Division 1,CALLIDE,Flynn,BILOELA,4715
Banana Shire Council,Division 2,CALLIDE,Flynn,BILOELA,4715
Banana Shire Council,Division 3,CALLIDE,Flynn,BILOELA,4715
North Burnett Regional Council,Division 5,CALLIDE,Flynn,BINJOUR,4625
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,BLACK SNAKE,4600
North Burnett Regional Council,Division 5,CALLIDE,Flynn,BLAIRMORE,4625
North Burnett Regional Council,Division 5,CALLIDE,Flynn,BON ACCORD,4625
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,BOOLBOONDA,4671
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,BOONARA,4601
South Burnett Regional Council,Division 5,CALLIDE,Flynn,BOONDOOMA,4613
South Burnett Regional Council,Division 6,CALLIDE,Flynn,BOONDOOMA,4613
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,BOOUBYJAN,4601
North Burnett Regional Council,Division 3,CALLIDE,Flynn,BOYNEWOOD,4626
North Burnett Regional Council,Division 5,CALLIDE,Flynn,BRANCH CREEK,4625
South Burnett Regional Council,Division 6,CALLIDE,Flynn,BRIGOODA,4613
North Burnett Regional Council,Division 3,CALLIDE,Flynn,BROVINIA,4626
North Burnett Regional Council,Division 2,CALLIDE,Flynn,BUKALI,4630
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,BULLYARD,4671
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,BUNDI,4427
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,BUNGABAN,4419
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,BUNGADOO,4671
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,BYEE,4605
North Burnett Regional Council,Division 5,CALLIDE,Flynn,BYRNESTOWN,4625
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,CADARGA,4626
Banana Shire Council,Division 3,CALLIDE,Flynn,CALLIDE,4715
Banana Shire Council,Division 6,CALLIDE,Flynn,CAMBOON,4719
North Burnett Regional Council,Division 5,CALLIDE,Flynn,CAMPBELL CREEK,4625
North Burnett Regional Council,Division 2,CALLIDE,Flynn,CANIA,4630
North Burnett Regional Council,Division 1,CALLIDE,Flynn,CANNINDAH,4630
North Burnett Regional Council,Division 2,CALLIDE,Flynn,CANNINDAH,4630
Banana Shire Council,Division 3,CALLIDE,Flynn,CASTLE CREEK,4715
Banana Shire Council,Division 5,CALLIDE,Flynn,CASTLE CREEK,4715
Banana Shire Council,Division 6,CALLIDE,Flynn,CASTLE CREEK,4715
North Burnett Regional Council,Division 5,CALLIDE,Flynn,CATTLE CREEK,4626
North Burnett Regional Council,Division 2,CALLIDE,Flynn,CERATODUS,4627
South Burnett Regional Council,Division 6,CALLIDE,Flynn,CHARLESTOWN,4608
South Burnett Regional Council,Division 5,CALLIDE,Flynn,CHELMSFORD,4606
North Burnett Regional Council,Division 3,CALLIDE,Flynn,CHELTENHAM,4627
Cherbourg Aboriginal Shire Council,Cherbourg Aboriginal Shire,CALLIDE,Wide Bay,CHERBOURG,4605
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,CHINCHILLA,4413
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,CINNABAR,4600
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,CLIFFORD,4427
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,CLOYNA,4605
North Burnett Regional Council,Division 6,CALLIDE,Flynn,COALSTOUN LAKES,4621
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,COBBS HILL,4605
Banana Shire Council,Division 6,CALLIDE,Flynn,COCKATOO,4419
North Burnett Regional Council,Division 2,CALLIDE,Flynn,COOMINGLAH,4630
North Burnett Regional Council,Division 3,CALLIDE,Flynn,COONAMBULA,4626
North Burnett Regional Council,Division 6,CALLIDE,Flynn,CORINGA,4621
South Burnett Regional Council,Division 6,CALLIDE,Flynn,COVERTY,4613
Banana Shire Council,Division 6,CALLIDE,Flynn,CRACOW,4719
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,CROWNTHORPE,4605
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,CROWNTHORPE,4605
South Burnett Regional Council,Division 6,CALLIDE,Flynn,CUSHNIE,4608
North Burnett Regional Council,Division 2,CALLIDE,Flynn,CYNTHIA,4627
Banana Shire Council,Division 3,CALLIDE,Flynn,DAKENBA,4715
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,DALGA,4630
North Burnett Regional Council,Division 6,CALLIDE,Flynn,DALLARNIL,4621
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,DALYSFORD,4671
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,DAMASCUS,4671
North Burnett Regional Council,Division 5,CALLIDE,Flynn,DEEP CREEK,4625
North Burnett Regional Council,Division 6,CALLIDE,Flynn,DEGILBO,4621
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,DELAN,4671
North Burnett Regional Council,Division 3,CALLIDE,Flynn,DERRI DERRA,4626
North Burnett Regional Council,Division 6,CALLIDE,Flynn,DIDCOT,4621
North Burnett Regional Council,Division 5,CALLIDE,Flynn,DIRNBIR,4625
Banana Shire Council,Division 4,CALLIDE,Flynn,DIXALEA,4702
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,DOUGHBOY,4671
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,DRINAN,4671
Banana Shire Council,Division 4,CALLIDE,Flynn,DULULU,4702
Banana Shire Council,Division 3,CALLIDE,Flynn,DUMGREE,4715
Banana Shire Council,Division 4,CALLIDE,Flynn,DUMGREE,4715
Banana Shire Council,Division 4,CALLIDE,Flynn,DUMPY CREEK,4702
North Burnett Regional Council,Division 5,CALLIDE,Flynn,DUNDARRAH,4625
South Burnett Regional Council,Division 6,CALLIDE,Flynn,DURONG,4610
South Burnett Regional Council,Division 6,CALLIDE,Maranoa,DURONG,4610
North Burnett Regional Council,Division 3,CALLIDE,Flynn,DYKEHEAD,4626
North Burnett Regional Council,Division 2,CALLIDE,Flynn,EIDSVOLD,4627
North Burnett Regional Council,Division 3,CALLIDE,Flynn,EIDSVOLD,4627
North Burnett Regional Council,Division 2,CALLIDE,Flynn,EIDSVOLD EAST,4627
North Burnett Regional Council,Division 5,CALLIDE,Flynn,EIDSVOLD EAST,4627
North Burnett Regional Council,Division 2,CALLIDE,Flynn,EIDSVOLD WEST,4627
North Burnett Regional Council,Division 3,CALLIDE,Flynn,EIDSVOLD WEST,4627
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,ELGIN VALE,4615
Banana Shire Council,Division 6,CALLIDE,Flynn,EUROMBAH,4419
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,EUROMBAH,4420
South Burnett Regional Council,Division 5,CALLIDE,Flynn,FAIRDALE,4606
South Burnett Regional Council,Division 6,CALLIDE,Flynn,FAIRDALE,4606
South Burnett Regional Council,Division 5,CALLIDE,Flynn,FICKS CROSSING,4606
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,GAETA,4671
North Burnett Regional Council,Division 4,CALLIDE,Flynn,GAYNDAH,4625
North Burnett Regional Council,Division 5,CALLIDE,Flynn,GAYNDAH,4625
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,GIN GIN,4671
North Burnett Regional Council,Division 5,CALLIDE,Flynn,GINOONDAN,4625
Banana Shire Council,Division 6,CALLIDE,Flynn,GLEBE,4420
North Burnett Regional Council,Division 1,CALLIDE,Flynn,GLENLEIGH,4630
North Burnett Regional Council,Division 2,CALLIDE,Flynn,GLENLEIGH,4630
Banana Shire Council,Division 5,CALLIDE,Flynn,GLENMORAL,4719
Banana Shire Council,Division 6,CALLIDE,Flynn,GLENMORAL,4719
North Burnett Regional Council,Division 3,CALLIDE,Flynn,GLENRAE,4626
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,GLENROCK,4605
North Burnett Regional Council,Division 6,CALLIDE,Flynn,GOLDEN FLEECE,4621
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,GOOD NIGHT,4671
North Burnett Regional Council,Division 5,CALLIDE,Flynn,GOOD NIGHT,4671
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,GOOMERI,4601
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,GOOMERIBONG,4601
North Burnett Regional Council,Division 5,CALLIDE,Flynn,GOOROOLBA,4625
Banana Shire Council,Division 4,CALLIDE,Flynn,GOOVIGEN,4702
South Burnett Regional Council,Division 5,CALLIDE,Flynn,GREENVIEW,4606
South Burnett Regional Council,Division 6,CALLIDE,Flynn,GREENVIEW,4606
Banana Shire Council,Division 4,CALLIDE,Flynn,GREYCLIFFE,4715
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,GROSMONT,4419
North Burnett Regional Council,Division 2,CALLIDE,Flynn,GROSVENOR,4627
North Burnett Regional Council,Division 3,CALLIDE,Flynn,GROSVENOR,4627
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,GULUGUBA,4418
North Burnett Regional Council,Division 5,CALLIDE,Flynn,GURGEENA,4626
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,GURULMUNDI,4415
North Burnett Regional Council,Division 2,CALLIDE,Flynn,HARRAMI,4630
North Burnett Regional Council,Division 5,CALLIDE,Flynn,HARRIET,4625
North Burnett Regional Council,Division 3,CALLIDE,Flynn,HAWKWOOD,4626
South Burnett Regional Council,Division 5,CALLIDE,Flynn,HIVESVILLE,4612
South Burnett Regional Council,Division 6,CALLIDE,Flynn,HIVESVILLE,4612
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,HORSE CAMP,4671
North Burnett Regional Council,Division 5,CALLIDE,Flynn,HUMPHERY,4625
North Burnett Regional Council,Division 5,CALLIDE,Flynn,IDERAWAY,4625
Banana Shire Council,Division 6,CALLIDE,Flynn,ISLA,4719
Gympie Regional Council,Division 6,CALLIDE,Maranoa,JOHNSTOWN,4615
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,JOHNSTOWN,4615
South Burnett Regional Council,Division 1,CALLIDE,Maranoa,JOHNSTOWN,4615
South Burnett Regional Council,Division 1,CALLIDE,Wide Bay,JOHNSTOWN,4615
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,KALPOWAR,4630
North Burnett Regional Council,Division 2,CALLIDE,Flynn,KALPOWAR,4630
North Burnett Regional Council,Division 1,CALLIDE,Flynn,KAPALDO,4630
North Burnett Regional Council,Division 2,CALLIDE,Flynn,KAPALDO,4630
South Burnett Regional Council,Division 5,CALLIDE,Flynn,KAWL KAWL,4612
South Burnett Regional Council,Division 6,CALLIDE,Flynn,KEYSLAND,4612
Banana Shire Council,Division 4,CALLIDE,Flynn,KIANGA,4718
Banana Shire Council,Division 5,CALLIDE,Flynn,KIANGA,4718
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,KILKIVAN,4600
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,KINBOMBI,4601
South Burnett Regional Council,Division 5,CALLIDE,Flynn,KINLEYMORE,4613
South Burnett Regional Council,Division 6,CALLIDE,Flynn,KINLEYMORE,4613
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,KITOBA,4605
Banana Shire Council,Division 4,CALLIDE,Flynn,KOKOTUNGO,4702
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,KOLONGA,4671
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,KRAGRA,4413
North Burnett Regional Council,Division 6,CALLIDE,Flynn,LAKESIDE,4621
North Burnett Regional Council,Division 1,CALLIDE,Flynn,LANGLEY,4630
Banana Shire Council,Division 3,CALLIDE,Flynn,LAWGI DAWES,4716
South Burnett Regional Council,Division 5,CALLIDE,Flynn,LEAFDALE,4606
South Burnett Regional Council,Division 6,CALLIDE,Flynn,LEAFDALE,4606
Banana Shire Council,Division 5,CALLIDE,Flynn,LONESOME CREEK,4719
Banana Shire Council,Division 6,CALLIDE,Flynn,LONESOME CREEK,4719
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,LOWER WONGA,4570
North Burnett Regional Council,Division 2,CALLIDE,Flynn,MALMOE,4627
North Burnett Regional Council,Division 3,CALLIDE,Flynn,MALMOE,4627
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,MANUMBAR,4601
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,MANYUNG,4605
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,MANYUNG,4605
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,MAROONDAN,4671
South Burnett Regional Council,Division 5,CALLIDE,Flynn,MARSHLANDS,4611
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,MCILWRAITH,4671
South Burnett Regional Council,Division 6,CALLIDE,Flynn,MELROSE,4613
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,MERLWOOD,4605
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,MILES,4415
North Burnett Regional Council,Division 5,CALLIDE,Flynn,MINGO,4625
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,MOFFATDALE,4605
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,MOLANGUL,4671
North Burnett Regional Council,Division 2,CALLIDE,Flynn,MONAL,4630
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,MONDURAN,4671
South Burnett Regional Council,Division 5,CALLIDE,Flynn,MONDURE,4611
North Burnett Regional Council,Division 3,CALLIDE,Flynn,MONOGORILBY,4626
North Burnett Regional Council,Division 1,CALLIDE,Flynn,MONTO,4630
North Burnett Regional Council,Division 2,CALLIDE,Flynn,MONTO,4630
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,MOOLBOOLAMAN,4671
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,MOONDOONER,4605
North Burnett Regional Council,Division 2,CALLIDE,Flynn,MOONFORD,4630
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,MORGANVILLE,4671
North Burnett Regional Council,Division 5,CALLIDE,Flynn,MOUNT DEBATEABLE,4625
North Burnett Regional Council,Division 5,CALLIDE,Flynn,MOUNT LAWLESS,4625
South Burnett Regional Council,Division 6,CALLIDE,Flynn,MOUNT MCEUEN,4606
Banana Shire Council,Division 3,CALLIDE,Flynn,MOUNT MURCHISON,4715
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,MOUNT PERRY,4671
North Burnett Regional Council,Division 5,CALLIDE,Flynn,MOUNT PERRY,4671
North Burnett Regional Council,Division 5,CALLIDE,Flynn,MOUNT STEADMAN,4625
Banana Shire Council,Division 4,CALLIDE,Flynn,MOURA,4718
Banana Shire Council,Division 5,CALLIDE,Flynn,MOURA,4718
Central Highlands Regional Council,Central Highlands Regional,CALLIDE,Flynn,MOURA,4718
South Burnett Regional Council,Division 6,CALLIDE,Flynn,MP CREEK,4606
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,MUDLO,4600
North Burnett Regional Council,Division 1,CALLIDE,Flynn,MULGILDIE,4630
North Burnett Regional Council,Division 2,CALLIDE,Flynn,MULGILDIE,4630
North Burnett Regional Council,Division 3,CALLIDE,Flynn,MUNDOWRAN,4626
North Burnett Regional Council,Division 5,CALLIDE,Flynn,MUNDOWRAN,4626
North Burnett Regional Council,Division 3,CALLIDE,Flynn,MUNDUBBERA,4626
North Burnett Regional Council,Division 5,CALLIDE,Flynn,MUNDUBBERA,4626
North Burnett Regional Council,Division 2,CALLIDE,Flynn,MUNGUNGO,4630
North Burnett Regional Council,Division 5,CALLIDE,Flynn,MUNGY,4671
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,MURGON,4605
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,NEARUM,4671
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,NEW MOONTA,4671
North Burnett Regional Council,Division 3,CALLIDE,Flynn,O'BIL BIL,4626
North Burnett Regional Council,Division 5,CALLIDE,Flynn,O'BIL BIL,4626
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,OAKDALE,4605
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,OAKVIEW,4600
South Burnett Regional Council,Division 5,CALLIDE,Flynn,OKEDEN,4613
South Burnett Regional Council,Division 6,CALLIDE,Flynn,OKEDEN,4613
North Burnett Regional Council,Division 3,CALLIDE,Flynn,OLD COORANGA,4626
Banana Shire Council,Division 3,CALLIDE,Flynn,ORANGE CREEK,4715
Banana Shire Council,Division 4,CALLIDE,Flynn,ORANGE CREEK,4715
North Burnett Regional Council,Division 5,CALLIDE,Flynn,PENWHAUPELL,4625
Banana Shire Council,Division 4,CALLIDE,Flynn,PHEASANT CREEK,4702
North Burnett Regional Council,Division 5,CALLIDE,Flynn,PHILPOTT,4626
North Burnett Regional Council,Division 5,CALLIDE,Flynn,PILE GULLY,4625
Banana Shire Council,Division 2,CALLIDE,Flynn,PROSPECT,4715
Banana Shire Council,Division 3,CALLIDE,Flynn,PROSPECT,4715
South Burnett Regional Council,Division 5,CALLIDE,Flynn,PROSTON,4613
South Burnett Regional Council,Division 6,CALLIDE,Flynn,PROSTON,4613
North Burnett Regional Council,Division 2,CALLIDE,Flynn,RAWBELLE,4630
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,REDGATE,4605
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,REDHILL FARMS,4671
North Burnett Regional Council,Division 5,CALLIDE,Flynn,REIDS CREEK,4625
North Burnett Regional Council,Division 3,CALLIDE,Flynn,RIVERLEIGH,4626
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,ROCHE CREEK,4419
Banana Shire Council,Division 5,CALLIDE,Flynn,ROUNDSTONE,4718
Banana Shire Council,Division 6,CALLIDE,Flynn,ROUNDSTONE,4718
North Burnett Regional Council,Division 1,CALLIDE,Flynn,SELENE,4630
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,SEXTON,4570
South Burnett Regional Council,Division 5,CALLIDE,Flynn,SILVERLEAF,4605
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,SILVERLEAF,4605
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,SKYRING RESERVE,4671
Banana Shire Council,Division 4,CALLIDE,Flynn,SMOKY CREEK,4702
South Burnett Regional Council,Division 5,CALLIDE,Flynn,SPEEDWELL,4613
North Burnett Regional Council,Division 1,CALLIDE,Flynn,SPLINTER CREEK,4630
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,ST AGNES,4671
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,ST KILDA,4671
South Burnett Regional Council,Division 5,CALLIDE,Flynn,STALWORTH,4613
North Burnett Regional Council,Division 5,CALLIDE,Flynn,STOCKHAVEN,4625
South Burnett Regional Council,Division 5,CALLIDE,Flynn,STONELANDS,4612
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,SUJEEWONG,4413
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,SUNNY NOOK,4605
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,TABLELANDS,4605
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,TAKILBERAN,4671
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,TANSEY,4601
Banana Shire Council,Division 6,CALLIDE,Flynn,TAROOM,4420
Banana Shire Council,Division 5,CALLIDE,Flynn,TARRAMBA,4702
North Burnett Regional Council,Division 1,CALLIDE,Flynn,TELLEBANG,4630
Banana Shire Council,Division 3,CALLIDE,Flynn,THANGOOL,4716
North Burnett Regional Council,Division 5,CALLIDE,Flynn,THE LIMITS,4625
Banana Shire Council,Division 5,CALLIDE,Flynn,THEODORE,4719
Banana Shire Council,Division 6,CALLIDE,Flynn,THEODORE,4719
North Burnett Regional Council,Division 1,CALLIDE,Flynn,THREE MOON,4630
North Burnett Regional Council,Division 2,CALLIDE,Flynn,THREE MOON,4630
South Burnett Regional Council,Division 6,CALLIDE,Flynn,TINGOORA,4608
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,TIRROAN,4671
North Burnett Regional Council,Division 3,CALLIDE,Flynn,TOONDAHRA,4625
Banana Shire Council,Division 4,CALLIDE,Flynn,ULOGIE,4702
Banana Shire Council,Division 2,CALLIDE,Flynn,VALENTINE PLAINS,4715
Banana Shire Council,Division 3,CALLIDE,Flynn,VALENTINE PLAINS,4715
North Burnett Regional Council,Division 1,CALLIDE,Flynn,VENTNOR,4630
North Burnett Regional Council,Division 2,CALLIDE,Flynn,VENTNOR,4630
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,WALLAVILLE,4671
Maranoa Regional Council,Maranoa Regional,CALLIDE,Maranoa,WALLUMBILLA,4428
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,WALLUMBILLA,4428
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,WANDOAN,4419
Banana Shire Council,Division 5,CALLIDE,Flynn,WARNOAH,4718
Banana Shire Council,Division 6,CALLIDE,Flynn,WARNOAH,4718
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,WARNUNG,4605
North Burnett Regional Council,Division 6,CALLIDE,Flynn,WATERANGA,4621
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,WATERLOO,4673
Banana Shire Council,Division 4,CALLIDE,Flynn,WESTWOOD,4702
Rockhampton Regional Council,Division 5,CALLIDE,Flynn,WESTWOOD,4702
North Burnett Regional Council,Division 5,CALLIDE,Flynn,WETHERON,4625
South Burnett Regional Council,Division 5,CALLIDE,Flynn,WHEATLANDS,4606
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,WIDGEE,4570
South Burnett Regional Council,Division 5,CALLIDE,Flynn,WIGTON,4612
South Burnett Regional Council,Division 6,CALLIDE,Flynn,WILKESDALE,4608
North Burnett Regional Council,Division 5,CALLIDE,Flynn,WILSON VALLEY,4625
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,WINDERA,4605
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,WINDERA,4605
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,WOLEEBEE,4419
Bundaberg Regional Council,Division 3,CALLIDE,Flynn,WONBAH,4671
South Burnett Regional Council,Division 5,CALLIDE,Flynn,WONDAI,4606
South Burnett Regional Council,Division 6,CALLIDE,Flynn,WONDAI,4606
North Burnett Regional Council,Division 5,CALLIDE,Flynn,WOODMILLAR,4625
Banana Shire Council,Division 4,CALLIDE,Flynn,WOOLEIN,4702
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,WOOLOOGA,4570
South Burnett Regional Council,Division 5,CALLIDE,Wide Bay,WOOROONDEN,4605
North Burnett Regional Council,Division 6,CALLIDE,Flynn,WOOWOONGA,4621
Banana Shire Council,Division 4,CALLIDE,Flynn,WOWAN,4702
Gympie Regional Council,Division 6,CALLIDE,Wide Bay,WRATTENS FOREST,4601
North Burnett Regional Council,Division 2,CALLIDE,Flynn,WURUMA DAM,4627
North Burnett Regional Council,Division 5,CALLIDE,Flynn,YARROL,4630
North Burnett Regional Council,Division 5,CALLIDE,Flynn,YENDA,4625
Maranoa Regional Council,Maranoa Regional,CALLIDE,Maranoa,YULEBA,4427
Western Downs Regional Council,Western Downs Regional,CALLIDE,Maranoa,YULEBA,4427
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,BALD KNOB,4552
Sunshine Coast Regional Council,Division 5,CALOUNDRA,Fisher,BALD KNOB,4552
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,BATTERY HILL,4551
Sunshine Coast Regional Council,Division 3,CALOUNDRA,Fisher,BATTERY HILL,4551
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,BEERWAH,4519
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,BELLS CREEK,4551
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,CALOUNDRA,4551
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,CALOUNDRA WEST,4551
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,CALOUNDRA WEST,4551
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,COOCHIN CREEK,4519
Sunshine Coast Regional Council,Division 3,CALOUNDRA,Fisher,CURRIMUNDI,4551
Sunshine Coast Regional Council,Division 5,CALOUNDRA,Fisher,DIAMOND VALLEY,4553
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,DICKY BEACH,4551
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,GLENVIEW,4553
Sunshine Coast Regional Council,Division 5,CALOUNDRA,Fisher,GLENVIEW,4553
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,GOLDEN BEACH,4551
Sunshine Coast Regional Council,Division 5,CALOUNDRA,Fisher,ILKLEY,4554
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,KINGS BEACH,4551
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,LANDSBOROUGH,4550
Sunshine Coast Regional Council,Division 5,CALOUNDRA,Fisher,LANDSBOROUGH,4550
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,LITTLE MOUNTAIN,4551
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,LITTLE MOUNTAIN,4551
Sunshine Coast Regional Council,Division 3,CALOUNDRA,Fisher,LITTLE MOUNTAIN,4551
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,MERIDAN PLAINS,4551
Sunshine Coast Regional Council,Division 3,CALOUNDRA,Fisher,MERIDAN PLAINS,4551
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,MOFFAT BEACH,4551
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,MOOLOOLAH VALLEY,4553
Sunshine Coast Regional Council,Division 5,CALOUNDRA,Fisher,MOOLOOLAH VALLEY,4553
Sunshine Coast Regional Council,Division 1,CALOUNDRA,Fisher,PALMVIEW,4553
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,PELICAN WATERS,4551
Sunshine Coast Regional Council,Division 2,CALOUNDRA,Fisher,SHELLY BEACH,4551
Redland City Council,Division 7,CAPALABA,Bowman,ALEXANDRA HILLS,4161
Redland City Council,Division 8,CAPALABA,Bowman,ALEXANDRA HILLS,4161
Redland City Council,Division 10,CAPALABA,Bowman,BIRKDALE,4159
